,x
126_s_at,2.24092418
36409_f_at,2.158390092
33483_at,2.129970063
35920_at,2.026814098
AFFX-M27830_5_at,1.803302802
36477_at,1.776603899
41024_f_at,1.731967499
33364_at,1.715883531
32089_at,1.703151797
37018_at,1.655839393
33970_at,1.619488195
32997_at,1.59005448
35097_at,1.539412467
40062_s_at,1.520651067
32663_at,1.514679462
31497_at,1.481797268
34343_at,1.474739307
AFFX-HUMRGE/M10098_M_at,1.443410501
137_at,1.433648547
38225_at,1.416322238
34412_s_at,1.394344189
33655_f_at,1.378328844
36347_f_at,1.365300401
38906_at,1.348549475
AFFX-HUMRGE/M10098_5_at,1.344244185
38715_at,1.326883437
37221_at,1.309420228
37179_at,1.303413982
32207_at,1.261458574
32184_at,1.258616686
160029_at,1.2505777
37170_at,1.241369507
33516_at,1.235558519
35950_at,1.229643106
40916_at,1.220401267
153_f_at,1.219066409
31953_f_at,1.216694063
35127_at,1.214574905
39971_at,1.213674874
37002_at,1.198650998
36787_at,1.189166495
35576_f_at,1.152501629
31522_f_at,1.143133939
39179_at,1.138852018
34068_f_at,1.138185631
31954_f_at,1.133777439
32227_at,1.124447183
37065_f_at,1.11182528
36269_at,1.110863382
38841_at,1.107061229
35921_at,1.106717623
1217_g_at,1.099354327
1500_at,1.095383054
36757_at,1.088636304
41025_r_at,1.086129382
31960_f_at,1.069549749
32745_at,1.062084697
32962_at,1.054444181
285_g_at,1.050500361
39373_at,1.046873688
41026_f_at,1.044233409
34964_at,1.039246622
40013_at,1.038129356
37667_at,1.032970147
157_at,1.032076367
32819_at,1.030892537
38714_at,1.030517462
560_s_at,1.011543887
37194_at,1.002864978
34210_at,1.002135136
37497_at,1.001082188
33671_f_at,0.999397988
39550_at,0.998382802
39610_at,0.994722681
36040_at,0.994709282
36671_at,0.992746562
37253_at,0.990912721
31498_f_at,0.978918183
33654_at,0.969397285
31523_f_at,0.968725663
34308_at,0.965657282
811_at,0.965269281
38973_at,0.958364919
31462_f_at,0.938768923
39962_at,0.937613191
576_at,0.937461608
41408_at,0.937398139
31797_at,0.928975298
34359_at,0.92592238
1211_s_at,0.924901813
37506_at,0.92145784
31528_f_at,0.921384189
1336_s_at,0.918687219
32980_f_at,0.915240409
284_at,0.907038466
35644_at,0.905062863
33680_f_at,0.895062978
40490_at,0.890399012
35502_at,0.882694467
34234_f_at,0.878793199
33796_at,0.875164433
35804_at,0.870688006
675_at,0.856599303
32250_at,0.853370066
31492_at,0.851118245
1779_s_at,0.848458869
1842_at,0.838569813
223_at,0.83571968
38462_at,0.832086887
35348_at,0.82904324
36039_s_at,0.82578254
36191_at,0.825203724
31768_at,0.824925984
1929_at,0.82192999
41342_at,0.821257467
38213_at,0.820918487
37737_at,0.820015005
31692_at,0.813904892
40578_s_at,0.811955229
35751_at,0.811727963
39372_at,0.811620217
39086_g_at,0.810488816
38352_at,0.809522656
809_at,0.808485612
31524_f_at,0.80728845
39009_at,0.806621711
37649_at,0.806061169
31599_f_at,0.805772502
39616_at,0.804658156
506_s_at,0.799165985
31881_at,0.797515186
37458_at,0.795287019
41057_at,0.794497468
39672_at,0.793796745
36036_at,0.790774116
40320_at,0.789647493
40314_at,0.787102356
1402_at,0.785264752
40587_s_at,0.784690284
32616_at,0.784455014
32636_f_at,0.783279131
40784_at,0.778477696
33767_at,0.774913914
38474_at,0.774400194
33791_at,0.771329868
39232_at,0.769617315
32451_at,0.76681801
32163_f_at,0.764407205
36796_at,0.763959386
32715_at,0.761232653
37738_g_at,0.760991758
32609_at,0.760664819
38454_g_at,0.758909008
38197_at,0.757864596
38155_at,0.752366031
40586_at,0.743264155
36113_s_at,0.735872491
39158_at,0.735079365
2024_s_at,0.734238657
32212_at,0.733485307
33285_i_at,0.731185663
36032_at,0.731109766
38943_at,0.729841739
34190_at,0.72798495
39577_at,0.727491757
37960_at,0.727307122
38640_at,0.727189048
33351_at,0.726662856
33309_at,0.722663844
38453_at,0.721751454
31525_s_at,0.71836574
38119_at,0.715465633
855_at,0.713861718
31808_at,0.711680974
39884_g_at,0.708854155
36687_at,0.706550778
37507_i_at,0.705738802
37688_f_at,0.700953323
31880_at,0.699494783
40463_at,0.699207516
31638_at,0.697909245
36163_at,0.697866956
798_at,0.697424504
33914_r_at,0.696032826
35172_at,0.689815813
33188_at,0.689037709
1748_s_at,0.688909089
339_at,0.688805694
286_at,0.68207447
34811_at,0.681687384
32835_at,0.679576164
37632_s_at,0.679399825
39273_at,0.677302287
AFFX-HUMRGE/M10098_3_at,0.676872315
590_at,0.675517771
38576_at,0.674172464
33121_g_at,0.674108685
32829_at,0.671498285
37474_at,0.671292755
41242_at,0.669070964
41617_at,0.668777518
37402_at,0.667039523
40588_r_at,0.665237725
38940_at,0.663899864
37337_at,0.662842672
32708_g_at,0.662553892
36846_s_at,0.661668678
36957_at,0.660629269
36460_at,0.660276177
32706_at,0.660163782
41058_g_at,0.658852521
